year,log_rer,log_rgdpo_pc,uval
1951,2.279789642616289,7.390642464147708,-0.6761964152491071
1952,2.092618649793563,7.496085770625933,-0.7917943081887584
1953,2.3290994905758424,7.561798090711423,-0.5107090766100022
1954,2.3239599268696773,7.614715478898986,-0.4799292288637007
1955,2.221549282936476,7.650804459432928,-0.557843294543567
1956,2.622747876690382,7.69211187478949,-0.1286059388807912
1957,2.5474016289717922,7.740261060338149,-0.17126934895264467
1958,2.5100328609500986,7.777310579064391,-0.18348954194401346
1959,2.8365508180506573,7.828924074268632,0.17806276651511777
1960,2.7103607452993317,7.865816283578382,0.07691448987229466
1961,2.785154153095341,7.918755906812799,0.18764240188751513
1962,2.768258297890308,7.956130745677583,0.19611594341830418
1963,2.739907839568437,8.017736775971345,0.20958259712455263
1964,2.7061256172820376,8.107336920319767,0.23661940921006863
1965,2.737639000203668,8.206046689287795,0.33513528275677196
1966,2.709831379987229,8.253660762766309,0.3396472753326494
1967,2.6946875442156695,8.353224628732852,0.39208567651455706
1968,2.652257856264948,8.43366840670219,0.4042598391815164
1969,2.6023565025628965,8.490811146407161,0.39314599274851236
1970,2.5959478570858994,8.586757312107224,0.4518639516090497
1971,2.577886415684858,8.692012166185059,0.5052476918483157
1972,2.5307251009443794,8.802801324575087,0.5332881491714712
1973,2.360037863864053,8.917863648456404,0.4407032352730995
1974,2.1144556551692335,8.95672727876481,0.2215009892974582
1975,2.0525457185904403,8.94119033814828,0.14904484509519733
1976,2.0133004040321394,9.065682024545708,0.19430234254778234
1977,1.9325753701403645,9.131180009066917,0.158036212163976
1978,1.8611305675163115,9.248422125869302,0.16617333860370143
1979,1.7424466408171033,9.324272996676976,0.09897567626644221
1980,1.5902866382300376,9.38280053920121,-0.01345683875494319
1981,1.498478224690518,9.425699983110105,-0.07614584883139086
1982,1.522966839783508,9.438544550009187,-0.0429385630107082
1983,1.5045234060217574,9.493543011424725,-0.024049988665119315
1984,1.4642384273048223,9.562066095223248,-0.01782267860039699
1985,1.4412278474095173,9.559528133935514,-0.042555982894371125
1986,1.3411514235861182,9.67868178890984,-0.06175295847444229
1987,1.1810270996357983,9.810280285558894,-0.13255049004965325
1988,1.0704685048630072,9.870731936102652,-0.20207554588122512
1989,0.9712322941680815,9.94532829987957,-0.2506770299743051
1990,0.9571496608462611,10.020210627391524,-0.213930829437458
1991,0.9081973576163646,10.074976723674048,-0.22570885000916896
1992,0.8101621180011819,10.137432681523865,-0.2813500614135497
1993,0.8064732718761722,10.182490089454477,-0.25445471527448094
1994,0.7660039448222941,10.216756475373654,-0.27166460990026386
1995,0.7230640419302735,10.257018231086745,-0.2872755266350061
1996,0.7326904402325988,10.313874863644374,-0.23905582566625805
1997,0.7714530577346147,10.363081962707536,-0.16689227704936482
1998,0.9175794543812233,10.399772937344164,0.004139321076458091
1999,0.8799259253141452,10.43443428283019,-0.009986683812823971
2000,0.8592638310848888,10.478946647543738,-0.0004345517238594221
2001,0.931542741304145,10.442574038833316,0.047155258322151616
2002,0.9386171576246546,10.468945489397406,0.07213016096395264
2003,0.9360804235559679,10.489027568394865,0.08322479614905365
2004,0.8982523252704541,10.535214621279307,0.0767476736610001
2005,0.8768516626062801,10.601905540471273,0.10061565800768646
2006,0.8722419467884487,10.609711023272187,0.10130416944395548
2007,0.851072714933749,10.637635003858323,0.09908925454286277
2008,0.7782341400311218,10.597824807005926,-0.0007717961417611496
2009,0.8200510893816901,10.55304502414844,0.010649408061502608
2010,0.7681963218279749,10.637726170333858,0.016274743670085523
2011,0.7057255885402451,10.67554426188141,-0.020525720597019737
2012,0.699999268319489,10.683596737018046,-0.020786159421316563
2013,0.6601424887739539,10.674184668268063,-0.06703168908526724
2014,0.6495996404103133,10.706048119336705,-0.05594617580011674
